images,name,corrAns,sounds,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,begin_global,begin_routine,end_global,end_routine,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,begin_book,key_resp_1.keys,key_resp_1.corr,key_resp_1.rt,date,frameRate,expName,session,participant
images\volleyball.jpg,volley ball,z,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\puma.jpg,puma,z,,,,,,0,0,0,0,,,,,,,,,48.1753441959,9.94256697595E-06,50.3307125681,2.1553795978,z,1,2.13397076703,,,,,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\notebook02b.jpg,notebook,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,0,0,7,92.5144472964,9.94245056063E-06,93.992622002,1.47818496882,,,,82.3278058218,z,1,1.46730559703,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\clothespin02a.jpg,clothes pin,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,1,1,79,95.1052108794,9.30111855268E-06,96.1431669649,1.03796602797,,,,,z,1,1.01714573079,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\antelope.jpg,antelope,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,2,2,12,97.2478354954,8.98027792573E-06,98.2937407931,1.04591491946,,,,,z,1,1.03375873459,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\acousticguitar02.jpg,acoustic guitar,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,3,3,97,99.4077325292,9.30111855268E-06,100.444324564,1.03660197719,,,,,z,1,1.01714797597,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\seagull.jpg,seagull,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,4,4,50,101.553448951,8.6595537141E-06,102.578229582,1.02478993195,,,,,z,1,1.00047692074,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\battery03b.jpg,battery,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,5,5,34,103.688951509,5.74100995436E-05,104.612124625,0.923207754968,,,,,z,1,0.900464059552,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\lychee02a.jpg,lychee,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,6,6,62,105.737185283,9.30111855268E-06,106.929403554,1.19222789304,,,,,z,1,1.18386750901,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\cheetah.jpg,cheetah,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,7,7,82,108.033375466,8.65967012942E-06,108.763231501,0.729865657282,,,,,z,1,0.717073791893,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\remotecontrol01c.jpg,remote control,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,8,8,85,109.872934159,9.62184276432E-06,110.780456131,0.907531594043,,,,,z,1,0.883806474856,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\plate01b.jpg,plate,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,9,9,3,111.880464502,9.30111855268E-06,113.031053725,1.15059884498,,,,,z,1,1.13386364433,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\giraffe.jpg,lettuce,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,10,10,195,114.131658006,8.98027792573E-06,115.148281915,1.01663320954,,,,,x,1,1.00048269378,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\thumbtack02a.jpg,thumb tack,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,11,11,60,116.260142743,8.98039434105E-06,117.482249218,1.22211641807,,,,,z,1,1.20053952653,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\cloud.jpg,ceiling fan,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,12,12,149,118.588893425,9.94256697595E-06,119.616158406,1.02727556427,,,,,x,1,1.01715214539,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\apple06.jpg,apple,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,13,13,13,120.74254623,8.6595537141E-06,121.533323989,0.790787060163,,,,,z,1,0.767061620252,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\mushroom01.jpg,shower head,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,14,14,222,122.650727296,9.30111855268E-06,123.883961065,1.23324339092,,,,,x,1,1.21720063931,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\nailclipper03a.jpg,aquarium,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,15,15,123,124.982671455,8.98039434105E-06,126.217936707,1.23527519486,,,,,x,1,1.21721924143,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\ashtray02b.jpg,ashtray,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,16,16,43,127.331344079,9.62184276432E-06,128.801943219,1.47060940322,,,,,z,1,1.45060054469,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\medal01.jpg,medal,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,17,17,115,129.903787109,9.62184276432E-06,131.019216663,1.11543981743,,,,,z,1,1.10050100728,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\swallow.jpg,mattress,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,18,18,202,132.120728601,8.98039434105E-06,133.319831913,1.19911261334,,,,,x,1,1.18386590539,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\hairdryer03a.jpg,hairdryer,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,19,19,119,134.41869978,8.98039434105E-06,135.270357248,0.851667089504,,,,,z,1,0.833773744642,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\beachumbrella01.jpg,beach umbrella,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,20,20,92,136.377711544,9.62184276432E-06,137.687666678,1.30996571749,,,,,z,1,1.300561368,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\umbrella01.jpg,umbrella,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,21,21,53,138.800366206,9.94245056063E-06,139.92161695,1.12126100773,,,,,z,1,1.10051576071,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\panda.jpg,panda,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,22,22,83,141.030809652,8.6595537141E-06,142.205555372,1.17475502088,,,,,z,1,1.15052764362,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\hammer02a.jpg,flower,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,23,23,176,143.30170091,8.98027792573E-06,144.222623487,0.920932198642,,,,,x,1,0.900315883802,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\radish01.jpg,raisin,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,24,24,214,145.333882952,8.98039434105E-06,146.690088806,1.35621547571,,,,,x,1,1.333908931,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\barrel01.jpg,barrel,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,25,25,9,147.819753817,9.62184276432E-06,148.723969737,0.904225542792,,,,,z,1,0.883790759137,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\safe.jpg,safe,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,26,26,78,149.836254887,9.30111855268E-06,150.907892412,1.07164714672,,,,,z,1,1.05049585958,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\mattress.jpg,cat,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,27,27,147,152.012987188,8.65967012942E-06,152.85842416,0.845446915133,,,,,x,1,0.833776310435,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\tent.jpg,tent,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,28,28,11,153.984265788,9.30111855268E-06,154.758927349,0.774671182968,,,,,z,1,0.750417185249,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\50dollarbill.jpg,cherry,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,29,29,151,155.879805409,9.621726349E-06,157.009533602,1.12973845692,,,,,x,1,1.11718521232,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\beermug01b.jpg,beer mug,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,30,30,111,158.127619095,9.30111855268E-06,159.276987953,1.14937847969,,,,,z,1,1.13403651596,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\parrot01.jpg,chameleon,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,31,31,150,160.391269305,9.621726349E-06,162.144256474,1.75299711118,,,,,x,1,1.73402772809,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\electricguitar02.jpg,electric guitar,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,32,32,100,163.24755967,8.98027792573E-06,164.294832868,1.04728249833,,,,,z,1,1.03383827477,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\microphone01.jpg,diaper,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,33,33,164,165.394834503,8.98039434105E-06,166.428729868,1.03390498599,,,,,x,1,1.01715984277,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\calculator02b.jpg,dice,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,34,34,165,167.530480747,8.6595537141E-06,168.629332898,1.0988617728,,,,,x,1,1.08385047852,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\pipe.jpg,icecube,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,35,35,188,169.739368149,9.62184276432E-06,170.979949768,1.24059188203,,,,,x,1,1.21720929898,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\eraser.jpg,eraser,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,36,36,110,172.088289978,9.94245056063E-06,173.397272668,1.308993274,,,,,z,1,1.30053154042,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\computerkeyboard01a.jpg,computer keyboard,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,37,37,61,174.515368424,9.30111855268E-06,175.447828504,0.932470022468,,,,,z,1,0.917139284196,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\gps.jpg,gps,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,38,38,21,176.566216762,8.98027792573E-06,177.681761778,1.11555527896,,,,,z,1,1.1005234581,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\electrictoothbrush01a.jpg,banjo,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,39,39,127,178.776182768,8.98039434105E-06,179.765685061,0.989512235625,,,,,x,1,0.967183560599,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\apricot.jpg,apricot,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,40,40,32,180.882345885,8.6595537141E-06,181.849543237,0.967206652858,,,,,z,1,0.950474338839,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\lamp04b.jpg,parking meter,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,41,41,209,182.970551191,8.98039434105E-06,184.250175197,1.27963330678,,,,,x,1,1.26721380511,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\globe.jpg,cloud,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,42,42,154,185.379393756,9.30111855268E-06,186.250725243,0.871340788552,,,,,x,1,0.850446403492,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\rhinoceros01.jpg,envelope,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,43,43,173,187.36362715,8.98039434105E-06,188.451310955,1.08769342629,,,,,x,1,1.06716466974,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\boxingglove02a.jpg,bracelet,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,44,44,135,189.562347514,9.30100213736E-06,190.75192877,1.18959151919,,,,,x,1,1.16719260509,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\saltshaker03c.jpg,salt shaker,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,45,45,63,191.862985215,8.98039434105E-06,192.869172996,1.00619740284,,,,,z,1,0.98381997738,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\triangleruler02.jpg,bottle of red wine,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,46,46,134,193.981313177,9.30111855268E-06,195.003079939,1.02177670435,,,,,x,1,1.00048397668,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\tank.jpg,wallet,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,47,47,237,196.108919122,9.30111855268E-06,197.25368042,1.14477124007,,,,,x,1,1.13385530538,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\aquarium.jpg,computer mouse,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,48,48,159,198.389708007,9.30111855268E-06,199.404260021,1.01456195617,,,,,x,1,1.00048846682,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\tape01a.jpg,tie,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,49,49,232,200.529698494,9.62184276432E-06,201.588179808,1.05849093571,,,,,x,1,1.03382704942,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\cauliflower01.jpg,glue stick,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,50,50,181,202.70543109,8.65967012942E-06,203.722138708,1.01671756071,,,,,x,1,1.00053657591,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\pingpongpaddle01c (1).jpg,ping pong paddle,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,51,51,10,204.834584862,9.30111855268E-06,206.056056299,1.22148073767,,,,,z,1,1.20055171417,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\donut.jpg,rhinoceros,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,52,52,216,207.257357231,9.30100213736E-06,208.106597702,0.849250413477,,,,,x,1,0.833771178848,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\screwdriver02b.jpg,cola,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,53,53,158,209.201761816,9.30111855268E-06,210.023776435,0.82202456193,,,,,x,1,0.800429709721,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\glasses01b.jpg,calculator,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,54,54,142,211.117922242,8.98039434105E-06,212.091008137,0.973096158123,,,,,x,1,0.950484281406,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\dresser02.jpg,dresser,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,55,55,87,213.213643459,8.98039434105E-06,214.141554992,0.927922758739,,,,,z,1,0.917122606421,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\floorlamp.jpg,floor lamp,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,56,56,26,215.23515845,9.30100213736E-06,216.775608346,1.5404598387,,,,,z,1,1.51727931353,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\cookingpot.jpg,grasshopper,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,57,57,183,217.889314315,9.30100213736E-06,218.659436951,0.770132578793,,,,,x,1,0.750414298731,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\chessknight02b (1).jpg,cockroach,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,58,58,155,219.852348634,9.62184276432E-06,221.160114166,1.30777611607,,,,,x,1,1.28390314174,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\licenseplate.jpg,license plate,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,59,59,40,222.277430555,8.98039434105E-06,223.277341714,0.999920459813,,,,,z,1,0.983817090746,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\djmixer01.jpg,light bulb,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,60,60,196,224.398835249,9.30111855268E-06,225.411096632,1.01227228809,,,,,x,1,1.00033355586,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\bracelet02a.jpg,chess knight,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,61,61,152,226.519640504,8.98039434105E-06,227.528488392,1.00885783124,,,,,x,1,1.00048942911,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\elbow.jpg,elbow,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,62,62,105,228.639601606,9.30111855268E-06,229.479013727,0.839422384044,,,,,z,1,0.81710301002,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\grandpiano.jpg,tulip,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,63,63,236,230.592983654,9.94256697595E-06,231.779628015,1.18665430369,,,,,x,1,1.16720383056,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\table02.jpg,table,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,64,64,49,232.893873446,8.98027792573E-06,233.646869915,0.753006412298,,,,,x,0,0.733819255722,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\dryingmachine01.jpg,drying machine,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,65,65,18,234.767518656,8.65967012942E-06,235.814048409,1.04653937451,,,,,z,1,1.03382929438,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\doll.jpg,carrot,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,66,66,146,236.926330992,9.30100213736E-06,237.697892729,0.771571679623,,,,,x,1,0.750421996228,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\lily.jpg,kiwi,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,67,67,190,238.797313849,8.98039434105E-06,239.781769828,0.984465921065,,,,,x,1,0.967140583205,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\volleyball.jpg,volley ball,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,68,68,2,240.913331616,9.621726349E-06,241.648953356,0.735631682561,,,,,z,1,0.717088545323,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\ostrich.jpg,ostrich,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,69,69,76,242.749297207,8.98039434105E-06,243.666155856,0.916868270142,,,,,z,1,0.900454758434,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
