images,name,corrAns,sounds,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,begin_global,begin_routine,end_global,end_routine,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,begin_book,key_resp_1.keys,key_resp_1.corr,key_resp_1.rt,date,frameRate,expName,session,participant,
images/volleyball.jpg,volley ball,z,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,2018_Nov_04_1258,59.003982550492296,chinese_cond2,001,999,
images/puma.jpg,puma,z,,,,,,0,0,0,0,,,,,,,,,48.1912908554,7.86781311035e-06,49.2885360718,1.09725284576,z,1,1.05998802185,,,,,2018_Nov_04_1258,59.003982550492296,chinese_cond2,001,999,
images/puma.jpg,puma,z,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,2018_Nov_04_1258,59.003982550492296,chinese_cond2,001,999,
images/tent.jpg,tent,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,0,0,11,92.5062060356,6.91413879395e-06,93.3993918896,0.89319396019,,,,82.2887840271,z,1,0.854950904846,2018_Nov_04_1258,59.003982550492296,chinese_cond2,001,999,
images/nailpolish02b.jpg,nail polish,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,1,1,94,94.5570180416,6.91413879395e-06,95.4314210415,0.874409914017,,,,,z,1,0.836512088776,2018_Nov_04_1258,59.003982550492296,chinese_cond2,001,999,
images/headphones02b.jpg,headphones,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,2,2,101,96.5865700245,6.91413879395e-06,97.4479708672,0.861408948898,,,,,z,1,0.820855140686,2018_Nov_04_1258,59.003982550492296,chinese_cond2,001,999,
images/pepper05a.jpg,lighter,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,3,3,198,98.6273949146,8.10623168945e-06,99.330824852,0.703438043594,,,,,x,1,0.6700258255,2018_Nov_04_1258,59.003982550492296,chinese_cond2,001,999,
images/cat.jpg,black olive,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,4,4,133,100.527034998,7.15255737305e-06,101.44508791,0.91806101799,,,,,x,1,0.883906841278,2018_Nov_04_1258,59.003982550492296,chinese_cond2,001,999,
images/pen03c.jpg,pepper,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,5,5,211,102.576202869,6.91413879395e-06,103.565760851,0.98956489563,,,,,x,1,0.953892946243,2018_Nov_04_1258,59.003982550492296,chinese_cond2,001,999,
images/carrot02.jpg,corkscrew,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,6,6,161,104.707407951,7.15255737305e-06,105.631523848,0.924124002457,,,,,x,1,0.887367963791,2018_Nov_04_1258,59.003982550492296,chinese_cond2,001,999,
images/puzzle.jpg,puzzle,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,7,7,57,106.808358908,6.91413879395e-06,107.865861893,1.05751085281,,,,,z,1,1.02134895325,2018_Nov_04_1258,59.003982550492296,chinese_cond2,001,999,
images/crocodile.jpg,triangle ruler,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,8,8,235,108.997696877,6.91413879395e-06,109.797421932,0.799731969833,,,,,x,1,0.768613100052,2018_Nov_04_1258,59.003982550492296,chinese_cond2,001,999,
images/cockroach02.jpg,belt,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,9,9,129,110.928748846,6.91413879395e-06,111.747521877,0.818779945374,,,,,x,1,0.786530971527,2018_Nov_04_1258,59.003982550492296,chinese_cond2,001,999,
,,,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,2018_Nov_04_1258,59.003982550492296,chinese_cond2,001,999,
images/pipe.jpg,icecube,x,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,0,0,188,132.928653002,7.15255737305e-06,133.747606039,0.818959951401,,,,122.747802973,x,1,0.786807060242,2018_Nov_04_1258,59.003982550492296,chinese_cond2,001,999,
images/lantern03.jpg,lantern,z,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,1,1,5,134.903249979,7.15255737305e-06,135.647827864,0.744587182999,,,,,z,1,0.701867103577,2018_Nov_04_1258,59.003982550492296,chinese_cond2,001,999,
images/comb02a.jpg,diploma,x,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,2,2,166,136.79932785,6.91413879395e-06,137.477575064,0.678255081177,,,,,x,1,0.647844076157,2018_Nov_04_1258,59.003982550492296,chinese_cond2,001,999,
images/ashtray02b.jpg,ashtray,z,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,3,3,43,138.637785912,6.91413879395e-06,139.631073952,0.9932949543,,,,,z,1,0.953794002533,2018_Nov_04_1258,59.003982550492296,chinese_cond2,001,999,
images/gps.jpg,gps,z,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,4,4,21,140.808198929,5.96046447754e-06,141.964828968,1.15663790703,,,,,z,1,1.11995196342,2018_Nov_04_1258,59.003982550492296,chinese_cond2,001,999,
images/bicycle.jpg,hand bag,x,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,5,5,186,143.121850014,6.19888305664e-06,144.179960966,1.05811715126,,,,,x,1,1.01901888847,2018_Nov_04_1258,59.003982550492296,chinese_cond2,001,999,
images/coffeepot03b.jpg,coffee pot,z,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,6,6,107,145.365046024,5.96046447754e-06,146.047230005,0.682191133499,,,,,z,1,0.651659011841,2018_Nov_04_1258,59.003982550492296,chinese_cond2,001,999,
images/gamecontroller01.jpg,game controller,z,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,7,7,112,147.218230963,5.96046447754e-06,148.013871908,0.795646905899,,,,,z,1,0.757330179214,2018_Nov_04_1258,59.003982550492296,chinese_cond2,001,999,
images/camera01a.jpg,bull,x,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,8,8,138,149.167280912,5.96046447754e-06,149.882289886,0.715015888214,,,,,x,1,0.676335811615,2018_Nov_04_1258,59.003982550492296,chinese_cond2,001,999,
images/cockroach02.jpg,belt,x,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,9,9,129,151.012243032,5.96046447754e-06,151.91249299,0.90025806427,,,,,z,0,0.858180046082,2018_Nov_04_1258,59.003982550492296,chinese_cond2,001,999,
,,,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,2018_Nov_04_1258,59.003982550492296,chinese_cond2,001,999,
