7.6445 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1680, 1050]. Using actual size
9.0037 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x12d439908>, multiSample=False, name='window1', numSamples=2, pos=[-840.0, -525.0], screen=0, size=array([3360, 2100]), stereo=False, units='norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.0037 	EXP 	window1: recordFrameIntervals = False
9.1679 	EXP 	window1: recordFrameIntervals = True
9.5872 	EXP 	window1: recordFrameIntervals = False
9.5895 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128, units='norm', win=Window(...))
9.5966 	EXP 	Imported images.xlsx as conditions, 7 conditions, 1 params
9.5986 	EXP 	Created sequence: random, trialTypes=7, nReps=5, seed=None
9.5989 	EXP 	New trial (rep=0, index=0): OrderedDict([('images', 'images/bow.png')])
9.8633 	EXP 	image: image = 'images/bow.png'
9.8633 	EXP 	image: autoDraw = True
10.6011 	EXP 	New trial (rep=0, index=1): OrderedDict([('images', 'images/antlers.png')])
10.7833 	EXP 	image: autoDraw = False
10.7833 	EXP 	image: image = 'images/antlers.png'
10.7833 	EXP 	image: autoDraw = True
11.6040 	EXP 	New trial (rep=0, index=2): OrderedDict([('images', 'images/antelope.png')])
11.7664 	EXP 	image: autoDraw = False
11.7664 	EXP 	image: image = 'images/antelope.png'
11.7664 	EXP 	image: autoDraw = True
12.6036 	EXP 	New trial (rep=0, index=3): OrderedDict([('images', 'images/breadknife.png')])
12.7638 	EXP 	image: autoDraw = False
12.7638 	EXP 	image: image = 'images/breadknife.png'
12.7638 	EXP 	image: autoDraw = True
13.6018 	EXP 	New trial (rep=0, index=4): OrderedDict([('images', 'images/banana04a.png')])
13.7693 	EXP 	image: autoDraw = False
13.7693 	EXP 	image: image = 'images/banana04a.png'
13.7693 	EXP 	image: autoDraw = True
14.6025 	EXP 	New trial (rep=0, index=5): OrderedDict([('images', 'images/bacon.png')])
14.7666 	EXP 	image: autoDraw = False
14.7666 	EXP 	image: image = 'images/bacon.png'
14.7666 	EXP 	image: autoDraw = True
15.6031 	EXP 	New trial (rep=0, index=6): OrderedDict([('images', 'images/alligator.png')])
15.7639 	EXP 	image: autoDraw = False
15.7639 	EXP 	image: image = 'images/alligator.png'
15.7639 	EXP 	image: autoDraw = True
16.6011 	EXP 	New trial (rep=1, index=0): OrderedDict([('images', 'images/antelope.png')])
16.7668 	EXP 	image: autoDraw = False
16.7668 	EXP 	image: image = 'images/antelope.png'
16.7668 	EXP 	image: autoDraw = True
17.6009 	EXP 	New trial (rep=1, index=1): OrderedDict([('images', 'images/antlers.png')])
17.7802 	EXP 	image: autoDraw = False
17.7802 	EXP 	image: image = 'images/antlers.png'
17.7802 	EXP 	image: autoDraw = True
18.6033 	EXP 	New trial (rep=1, index=2): OrderedDict([('images', 'images/breadknife.png')])
18.7642 	EXP 	image: autoDraw = False
18.7642 	EXP 	image: image = 'images/breadknife.png'
18.7642 	EXP 	image: autoDraw = True
19.6004 	EXP 	New trial (rep=1, index=3): OrderedDict([('images', 'images/bacon.png')])
19.7626 	EXP 	image: autoDraw = False
19.7626 	EXP 	image: image = 'images/bacon.png'
19.7626 	EXP 	image: autoDraw = True
20.6017 	EXP 	New trial (rep=1, index=4): OrderedDict([('images', 'images/banana04a.png')])
20.7665 	EXP 	image: autoDraw = False
20.7665 	EXP 	image: image = 'images/banana04a.png'
20.7665 	EXP 	image: autoDraw = True
21.6007 	EXP 	New trial (rep=1, index=5): OrderedDict([('images', 'images/bow.png')])
21.7474 	EXP 	image: autoDraw = False
21.7474 	EXP 	image: image = 'images/bow.png'
21.7474 	EXP 	image: autoDraw = True
22.6005 	EXP 	New trial (rep=1, index=6): OrderedDict([('images', 'images/alligator.png')])
22.7663 	EXP 	image: autoDraw = False
22.7663 	EXP 	image: image = 'images/alligator.png'
22.7663 	EXP 	image: autoDraw = True
23.6017 	EXP 	New trial (rep=2, index=0): OrderedDict([('images', 'images/banana04a.png')])
23.7673 	EXP 	image: autoDraw = False
23.7673 	EXP 	image: image = 'images/banana04a.png'
23.7673 	EXP 	image: autoDraw = True
24.6025 	EXP 	New trial (rep=2, index=1): OrderedDict([('images', 'images/bow.png')])
24.7495 	EXP 	image: autoDraw = False
24.7495 	EXP 	image: image = 'images/bow.png'
24.7495 	EXP 	image: autoDraw = True
25.0150 	DATA 	Keypress: escape
25.2956 	EXP 	window1: mouseVisible = True
