9.6350 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([1., 1., 1.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x112ceacd0>, multiSample=False, name='window1', numSamples=2, pos=[-840, -525], screen=0, size=array([3360, 2100]), stereo=False, units=u'norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
9.6350 	EXP 	window1: recordFrameIntervals = False
9.8004 	EXP 	window1: recordFrameIntervals = True
9.9849 	EXP 	window1: recordFrameIntervals = False
9.9868 	EXP 	Created image = ImageStim(autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([-100.,    0.]), size=array([1., 1.]), texRes=128, units='pix', win=Window(...))
10.0869 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([0.2, 0. ]), rgb=array([0., 0., 0.]), text='default text', units=u'norm', win=Window(...), wrapWidth=1)
10.0939 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='default text', units=u'norm', win=Window(...), wrapWidth=1)
10.1006 	EXP 	Imported images.xlsx as conditions, 13 conditions, 3 params
10.1010 	EXP 	Created sequence: random, trialTypes=13, nReps=5, seed=None
10.1013 	EXP 	New trial (rep=0, index=0): OrderedDict([(u'images', u'images/apple01.jpg'), (u'name', u'apple'), (u'corrAns', u'z')])
10.4268 	EXP 	image: image = u'images/apple01.jpg'
10.4268 	EXP 	image: size = array([300., 300.])
10.4268 	EXP 	text: text = u'apple'
10.4268 	EXP 	image: autoDraw = True
10.4268 	EXP 	text: autoDraw = True
10.8210 	DATA 	Keypress: z
10.8509 	EXP 	image: autoDraw = False
10.8509 	EXP 	text: autoDraw = False
10.8509 	EXP 	text_2: text = 'doh!'
10.8509 	EXP 	text_2: autoDraw = True
11.8179 	EXP 	New trial (rep=0, index=1): OrderedDict([(u'images', u'images/almond.jpg'), (u'name', u'apple'), (u'corrAns', u'x')])
11.9992 	EXP 	text_2: autoDraw = False
11.9992 	EXP 	text_2: autoDraw = False
11.9992 	EXP 	image: image = u'images/almond.jpg'
11.9992 	EXP 	image: size = array([300., 300.])
11.9992 	EXP 	text: text = u'apple'
11.9992 	EXP 	image: autoDraw = True
11.9992 	EXP 	text: autoDraw = True
12.5039 	DATA 	Keypress: x
12.5350 	EXP 	image: autoDraw = False
12.5350 	EXP 	text: autoDraw = False
12.5350 	EXP 	text_2: text = 'Correct! RT=0.434'
12.5350 	EXP 	text_2: autoDraw = True
13.5011 	EXP 	New trial (rep=0, index=2): OrderedDict([(u'images', u'images/antlers.jpg'), (u'name', u'antlers'), (u'corrAns', u'z')])
13.6668 	EXP 	text_2: autoDraw = False
13.6668 	EXP 	text_2: autoDraw = False
13.6668 	EXP 	image: image = u'images/antlers.jpg'
13.6668 	EXP 	image: size = array([300., 300.])
13.6668 	EXP 	text: text = u'antlers'
13.6668 	EXP 	image: autoDraw = True
13.6668 	EXP 	text: autoDraw = True
14.7509 	DATA 	Keypress: z
14.7865 	EXP 	image: autoDraw = False
14.7865 	EXP 	text: autoDraw = False
14.7865 	EXP 	text_2: text = 'Correct! RT=0.537'
14.7865 	EXP 	text_2: autoDraw = True
15.7515 	EXP 	New trial (rep=0, index=3): OrderedDict([(u'images', u'images/banjo.jpg'), (u'name', u'banjo'), (u'corrAns', u'z')])
15.9115 	EXP 	text_2: autoDraw = False
15.9115 	EXP 	text_2: autoDraw = False
15.9115 	EXP 	image: image = u'images/banjo.jpg'
15.9115 	EXP 	image: size = array([300., 300.])
15.9115 	EXP 	text: text = u'banjo'
15.9115 	EXP 	image: autoDraw = True
15.9115 	EXP 	text: autoDraw = True
16.5510 	DATA 	Keypress: z
16.5843 	EXP 	image: autoDraw = False
16.5843 	EXP 	text: autoDraw = False
16.5843 	EXP 	text_2: text = 'Correct! RT=1.118'
16.5843 	EXP 	text_2: autoDraw = True
17.5521 	EXP 	New trial (rep=0, index=4): OrderedDict([(u'images', u'images/barn.jpg'), (u'name', u'shoe'), (u'corrAns', u'x')])
17.7843 	EXP 	text_2: autoDraw = False
17.7843 	EXP 	text_2: autoDraw = False
17.7843 	EXP 	image: image = u'images/barn.jpg'
17.7843 	EXP 	image: size = array([300., 300.])
17.7843 	EXP 	text: text = u'shoe'
17.7843 	EXP 	image: autoDraw = True
17.7843 	EXP 	text: autoDraw = True
18.1520 	DATA 	Keypress: x
18.1848 	EXP 	image: autoDraw = False
18.1848 	EXP 	text: autoDraw = False
18.1848 	EXP 	text_2: text = 'Correct! RT=0.672'
18.1848 	EXP 	text_2: autoDraw = True
19.1524 	EXP 	New trial (rep=0, index=5): OrderedDict([(u'images', u'images/acorn.jpg'), (u'name', u'tree'), (u'corrAns', u'x')])
19.3450 	EXP 	text_2: autoDraw = False
19.3450 	EXP 	text_2: autoDraw = False
19.3450 	EXP 	image: image = u'images/acorn.jpg'
19.3450 	EXP 	image: size = array([300., 300.])
19.3450 	EXP 	text: text = u'tree'
19.3450 	EXP 	image: autoDraw = True
19.3450 	EXP 	text: autoDraw = True
19.7189 	DATA 	Keypress: x
19.7511 	EXP 	image: autoDraw = False
19.7511 	EXP 	text: autoDraw = False
19.7511 	EXP 	text_2: text = 'Correct! RT=0.398'
19.7511 	EXP 	text_2: autoDraw = True
20.7177 	EXP 	New trial (rep=0, index=6): OrderedDict([(u'images', u'images/banana04a.jpg'), (u'name', u'banana'), (u'corrAns', u'z')])
20.8992 	EXP 	text_2: autoDraw = False
20.8992 	EXP 	text_2: autoDraw = False
20.8992 	EXP 	image: image = u'images/banana04a.jpg'
20.8992 	EXP 	image: size = array([300., 300.])
20.8992 	EXP 	text: text = u'banana'
20.8992 	EXP 	image: autoDraw = True
20.8992 	EXP 	text: autoDraw = True
21.3188 	DATA 	Keypress: x
21.3516 	EXP 	image: autoDraw = False
21.3516 	EXP 	text: autoDraw = False
21.3516 	EXP 	text_2: text = 'Correct! RT=0.412'
21.3516 	EXP 	text_2: autoDraw = True
22.3187 	EXP 	New trial (rep=0, index=7): OrderedDict([(u'images', u'images/armadillo.jpg'), (u'name', u'armadillo'), (u'corrAns', u'z')])
22.4995 	EXP 	text_2: autoDraw = False
22.4995 	EXP 	text_2: autoDraw = False
22.4995 	EXP 	image: image = u'images/armadillo.jpg'
22.4995 	EXP 	image: size = array([300., 300.])
22.4995 	EXP 	text: text = u'armadillo'
22.4995 	EXP 	image: autoDraw = True
22.4995 	EXP 	text: autoDraw = True
22.8178 	DATA 	Keypress: escape
23.0924 	EXP 	window1: mouseVisible = True
