8.4404 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([1., 1., 1.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1130ccc90>, multiSample=False, name='window1', numSamples=2, pos=[-840, -525], screen=0, size=array([3360, 2100]), stereo=False, units=u'norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
8.4404 	EXP 	window1: recordFrameIntervals = False
8.6405 	EXP 	window1: recordFrameIntervals = True
8.8245 	EXP 	window1: recordFrameIntervals = False
8.8267 	EXP 	Created image = ImageStim(autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([-100.,    0.]), size=array([1., 1.]), texRes=128, units='pix', win=Window(...))
8.9068 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([0.2, 0. ]), rgb=array([0., 0., 0.]), text='default text', units=u'norm', win=Window(...), wrapWidth=1)
8.9147 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='default text', units=u'norm', win=Window(...), wrapWidth=1)
8.9218 	EXP 	Imported images.xlsx as conditions, 13 conditions, 3 params
8.9221 	EXP 	Created sequence: random, trialTypes=13, nReps=5, seed=None
8.9224 	EXP 	New trial (rep=0, index=0): OrderedDict([(u'images', u'images/antelope.jpg'), (u'name', u'antelope'), (u'corrAns', u'z')])
9.1709 	EXP 	image: image = u'images/antelope.jpg'
9.1709 	EXP 	image: size = array([300., 300.])
9.1709 	EXP 	text: text = u'antelope'
9.1709 	EXP 	image: autoDraw = True
9.1709 	EXP 	text: autoDraw = True
9.6139 	DATA 	Keypress: z
9.6408 	EXP 	image: autoDraw = False
9.6408 	EXP 	text: autoDraw = False
9.6408 	EXP 	text_2: text = 'doh!'
9.6408 	EXP 	text_2: autoDraw = True
10.6081 	EXP 	New trial (rep=0, index=1): OrderedDict([(u'images', u'images/acorn.jpg'), (u'name', u'tree'), (u'corrAns', u'x')])
10.7879 	EXP 	text_2: autoDraw = False
10.7879 	EXP 	text_2: autoDraw = False
10.7879 	EXP 	image: image = u'images/acorn.jpg'
10.7879 	EXP 	image: size = array([300., 300.])
10.7879 	EXP 	text: text = u'tree'
10.7879 	EXP 	image: autoDraw = True
10.7879 	EXP 	text: autoDraw = True
11.7398 	DATA 	Keypress: z
11.7618 	EXP 	image: autoDraw = False
11.7618 	EXP 	text: autoDraw = False
11.7618 	EXP 	text_2: text = 'Correct!'
11.7618 	EXP 	text_2: autoDraw = True
12.7414 	EXP 	New trial (rep=0, index=2): OrderedDict([(u'images', u'images/alligator.jpg'), (u'name', u'deer'), (u'corrAns', u'x')])
12.9046 	EXP 	text_2: autoDraw = False
12.9046 	EXP 	text_2: autoDraw = False
12.9046 	EXP 	image: image = u'images/alligator.jpg'
12.9046 	EXP 	image: size = array([300., 300.])
12.9046 	EXP 	text: text = u'deer'
12.9046 	EXP 	image: autoDraw = True
12.9046 	EXP 	text: autoDraw = True
14.1067 	DATA 	Keypress: z
14.1406 	EXP 	image: autoDraw = False
14.1406 	EXP 	text: autoDraw = False
14.1406 	EXP 	text_2: text = 'Wrong.'
14.1406 	EXP 	text_2: autoDraw = True
15.1072 	EXP 	New trial (rep=0, index=3): OrderedDict([(u'images', u'images/avocado02.jpg'), (u'name', u'avocado'), (u'corrAns', u'z')])
15.3052 	EXP 	text_2: autoDraw = False
15.3052 	EXP 	text_2: autoDraw = False
15.3052 	EXP 	image: image = u'images/avocado02.jpg'
15.3052 	EXP 	image: size = array([300., 300.])
15.3052 	EXP 	text: text = u'avocado'
15.3052 	EXP 	image: autoDraw = True
15.3052 	EXP 	text: autoDraw = True
