10.8587 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([1., 1., 1.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x112ba8c90>, multiSample=False, name='window1', numSamples=2, pos=[-840, -525], screen=0, size=array([3360, 2100]), stereo=False, units=u'norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
10.8587 	EXP 	window1: recordFrameIntervals = False
11.0622 	EXP 	window1: recordFrameIntervals = True
11.2457 	EXP 	window1: recordFrameIntervals = False
11.2477 	EXP 	Created image = ImageStim(autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([-100.,    0.]), size=array([1., 1.]), texRes=128, units='pix', win=Window(...))
11.3476 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([0.2, 0. ]), rgb=array([0., 0., 0.]), text='default text', units=u'norm', win=Window(...), wrapWidth=1)
11.3546 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='default text', units=u'norm', win=Window(...), wrapWidth=1)
11.3612 	EXP 	Imported images.xlsx as conditions, 3 conditions, 3 params
11.3616 	EXP 	Created sequence: random, trialTypes=3, nReps=5, seed=None
11.3619 	EXP 	New trial (rep=0, index=0): OrderedDict([(u'images', u'images/apple01.jpg'), (u'name', u'apple'), (u'corrAns', u'z')])
11.6942 	EXP 	image: image = u'images/apple01.jpg'
11.6942 	EXP 	image: size = array([300., 300.])
11.6942 	EXP 	text: text = u'apple'
11.6942 	EXP 	image: autoDraw = True
11.6942 	EXP 	text: autoDraw = True
12.4332 	DATA 	Keypress: 1
13.3765 	EXP 	image: autoDraw = False
13.3765 	EXP 	text: autoDraw = False
13.3765 	EXP 	text_2: text = 'doh!'
