9.6467 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([1., 1., 1.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x112fabc90>, multiSample=False, name='window1', numSamples=2, pos=[-840, -525], screen=0, size=array([3360, 2100]), stereo=False, units=u'norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
9.6468 	EXP 	window1: recordFrameIntervals = False
9.8456 	EXP 	window1: recordFrameIntervals = True
10.0302 	EXP 	window1: recordFrameIntervals = False
10.0319 	EXP 	Created image = ImageStim(autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([-100.,    0.]), size=array([1., 1.]), texRes=128, units='pix', win=Window(...))
10.1303 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([0.2, 0. ]), rgb=array([0., 0., 0.]), text='default text', units=u'norm', win=Window(...), wrapWidth=1)
10.1372 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='default text', units=u'norm', win=Window(...), wrapWidth=1)
10.1438 	EXP 	Imported images.xlsx as conditions, 3 conditions, 3 params
10.1441 	EXP 	Created sequence: random, trialTypes=3, nReps=5, seed=None
10.1444 	EXP 	New trial (rep=0, index=0): OrderedDict([(u'images', u'images/apple01.jpg'), (u'name', u'apple'), (u'corrAns', u'z')])
10.4612 	EXP 	image: image = u'images/apple01.jpg'
10.4612 	EXP 	image: size = array([300., 300.])
10.4612 	EXP 	text: text = u'apple'
10.4612 	EXP 	image: autoDraw = True
10.4612 	EXP 	text: autoDraw = True
10.7678 	DATA 	Keypress: z
10.7970 	EXP 	image: autoDraw = False
10.7970 	EXP 	text: autoDraw = False
10.7970 	EXP 	text_2: text = 'doh!'
10.7970 	EXP 	text_2: autoDraw = True
11.7639 	EXP 	New trial (rep=0, index=1): OrderedDict([(u'images', u'images/bagel01.jpg'), (u'name', u'bagel'), (u'corrAns', u'z')])
11.9780 	EXP 	text_2: autoDraw = False
11.9780 	EXP 	text_2: autoDraw = False
11.9780 	EXP 	image: image = u'images/bagel01.jpg'
11.9780 	EXP 	image: size = array([300., 300.])
11.9780 	EXP 	text: text = u'bagel'
11.9780 	EXP 	image: autoDraw = True
11.9780 	EXP 	text: autoDraw = True
12.2624 	DATA 	Keypress: z
12.2848 	EXP 	image: autoDraw = False
12.2848 	EXP 	text: autoDraw = False
12.2848 	EXP 	text_2: text = 'Correct!'
12.2848 	EXP 	text_2: autoDraw = True
13.2634 	EXP 	New trial (rep=0, index=2): OrderedDict([(u'images', u'images/antelope.jpg'), (u'name', u'antelope'), (u'corrAns', u'z')])
13.4273 	EXP 	text_2: autoDraw = False
13.4273 	EXP 	text_2: autoDraw = False
13.4273 	EXP 	image: image = u'images/antelope.jpg'
13.4273 	EXP 	image: size = array([300., 300.])
13.4273 	EXP 	text: text = u'antelope'
13.4273 	EXP 	image: autoDraw = True
13.4273 	EXP 	text: autoDraw = True
13.6635 	DATA 	Keypress: z
13.6785 	EXP 	image: autoDraw = False
13.6785 	EXP 	text: autoDraw = False
13.6785 	EXP 	text_2: text = 'Correct!'
13.6785 	EXP 	text_2: autoDraw = True
14.6640 	EXP 	New trial (rep=1, index=0): OrderedDict([(u'images', u'images/apple01.jpg'), (u'name', u'apple'), (u'corrAns', u'z')])
14.8774 	EXP 	text_2: autoDraw = False
14.8774 	EXP 	text_2: autoDraw = False
14.8774 	EXP 	image: image = u'images/apple01.jpg'
14.8774 	EXP 	image: size = array([300., 300.])
14.8774 	EXP 	text: text = u'apple'
14.8774 	EXP 	image: autoDraw = True
14.8774 	EXP 	text: autoDraw = True
15.1135 	DATA 	Keypress: x
15.1280 	EXP 	image: autoDraw = False
15.1280 	EXP 	text: autoDraw = False
15.1280 	EXP 	text_2: text = 'Correct!'
15.1280 	EXP 	text_2: autoDraw = True
16.1133 	EXP 	New trial (rep=1, index=1): OrderedDict([(u'images', u'images/antelope.jpg'), (u'name', u'antelope'), (u'corrAns', u'z')])
16.2780 	EXP 	text_2: autoDraw = False
16.2780 	EXP 	text_2: autoDraw = False
16.2780 	EXP 	image: image = u'images/antelope.jpg'
16.2780 	EXP 	image: size = array([300., 300.])
16.2780 	EXP 	text: text = u'antelope'
16.2780 	EXP 	image: autoDraw = True
16.2780 	EXP 	text: autoDraw = True
17.3472 	DATA 	Keypress: escape
17.6173 	EXP 	window1: mouseVisible = True
