9.7231 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([1., 1., 1.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1140b4c90>, multiSample=False, name='window1', numSamples=2, pos=[-840, -525], screen=0, size=array([3360, 2100]), stereo=False, units=u'norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
9.7232 	EXP 	window1: recordFrameIntervals = False
9.8889 	EXP 	window1: recordFrameIntervals = True
10.0731 	EXP 	window1: recordFrameIntervals = False
10.0750 	EXP 	Created image = ImageStim(autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([-100.,    0.]), size=array([1., 1.]), texRes=128, units='pix', win=Window(...))
10.1729 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([0.2, 0. ]), rgb=array([0., 0., 0.]), text='default text', units=u'norm', win=Window(...), wrapWidth=1)
10.1796 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='default text', units=u'norm', win=Window(...), wrapWidth=1)
10.1858 	EXP 	Imported images.xlsx as conditions, 3 conditions, 3 params
10.1861 	EXP 	Created sequence: random, trialTypes=3, nReps=5, seed=None
10.1865 	EXP 	New trial (rep=0, index=0): OrderedDict([(u'images', u'images/bagel01.jpg'), (u'name', u'bagel'), (u'corrAns', u'z')])
10.5038 	EXP 	image: image = u'images/bagel01.jpg'
10.5038 	EXP 	image: size = array([300., 300.])
10.5038 	EXP 	text: text = u'bagel'
10.5038 	EXP 	image: autoDraw = True
10.5038 	EXP 	text: autoDraw = True
10.8794 	DATA 	Keypress: z
10.9066 	EXP 	image: autoDraw = False
10.9066 	EXP 	text: autoDraw = False
10.9066 	EXP 	text_2: text = 'doh!'
10.9066 	EXP 	text_2: autoDraw = True
11.8727 	EXP 	New trial (rep=0, index=1): OrderedDict([(u'images', u'images/apple01.jpg'), (u'name', u'apple'), (u'corrAns', u'z')])
12.0873 	EXP 	text_2: autoDraw = False
12.0873 	EXP 	text_2: autoDraw = False
12.0873 	EXP 	image: image = u'images/apple01.jpg'
12.0873 	EXP 	image: size = array([300., 300.])
12.0873 	EXP 	text: text = u'apple'
12.0873 	EXP 	image: autoDraw = True
12.0873 	EXP 	text: autoDraw = True
12.4887 	DATA 	Keypress: z
12.5229 	EXP 	image: autoDraw = False
12.5229 	EXP 	text: autoDraw = False
12.5229 	EXP 	text_2: text = 'Correct!'
12.5229 	EXP 	text_2: autoDraw = True
13.4894 	EXP 	New trial (rep=0, index=2): OrderedDict([(u'images', u'images/antelope.jpg'), (u'name', u'antelope'), (u'corrAns', u'z')])
13.6538 	EXP 	text_2: autoDraw = False
