12.0503 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([1., 1., 1.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x113004c90>, multiSample=False, name='window1', numSamples=2, pos=[-840, -525], screen=0, size=array([3360, 2100]), stereo=False, units=u'norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
12.0503 	EXP 	window1: recordFrameIntervals = False
12.2152 	EXP 	window1: recordFrameIntervals = True
12.4028 	EXP 	window1: recordFrameIntervals = False
12.4047 	EXP 	Created image = ImageStim(autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([-100.,    0.]), size=array([1., 1.]), texRes=128, units='pix', win=Window(...))
12.5267 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([0.2, 0. ]), rgb=array([0., 0., 0.]), text='default text', units=u'norm', win=Window(...), wrapWidth=1)
12.5346 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='default text', units=u'norm', win=Window(...), wrapWidth=1)
12.5452 	EXP 	Imported images.xlsx as conditions, 13 conditions, 3 params
12.5458 	EXP 	Created sequence: random, trialTypes=13, nReps=5, seed=None
12.5462 	EXP 	New trial (rep=0, index=0): OrderedDict([(u'images', u'images/antelope.jpg'), (u'name', u'antelope'), (u'corrAns', u'z')])
12.8287 	EXP 	image: image = u'images/antelope.jpg'
12.8287 	EXP 	image: size = array([300., 300.])
12.8287 	EXP 	text: text = u'antelope'
12.8287 	EXP 	image: autoDraw = True
12.8287 	EXP 	text: autoDraw = True
13.4476 	DATA 	Keypress: z
13.4821 	EXP 	image: autoDraw = False
13.4821 	EXP 	text: autoDraw = False
13.4821 	EXP 	text_2: text = 'Correct!'
13.4821 	EXP 	text_2: autoDraw = True
14.4530 	EXP 	New trial (rep=0, index=1): OrderedDict([(u'images', u'images/barn.jpg'), (u'name', u'shoe'), (u'corrAns', u'x')])
14.7109 	EXP 	text_2: autoDraw = False
14.7109 	EXP 	text_2: autoDraw = False
14.7109 	EXP 	image: image = u'images/barn.jpg'
14.7109 	EXP 	image: size = array([300., 300.])
14.7109 	EXP 	text: text = u'shoe'
14.7109 	EXP 	image: autoDraw = True
14.7109 	EXP 	text: autoDraw = True
15.1333 	DATA 	Keypress: x
15.1480 	EXP 	image: autoDraw = False
15.1480 	EXP 	text: autoDraw = False
15.1480 	EXP 	text_2: text = 'Correct!'
15.1480 	EXP 	text_2: autoDraw = True
