8.0552 	WARNING 	User requested fullscreen with size [1680 1050], but screen is actually [1440, 900]. Using actual size
8.6728 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([1., 1., 1.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x115345790>, multiSample=False, name='window1', numSamples=2, pos=[-720, -450], screen=0, size=array([2880, 1800]), stereo=False, units=u'norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
8.6728 	EXP 	window1: recordFrameIntervals = False
8.8387 	EXP 	window1: recordFrameIntervals = True
9.0222 	EXP 	window1: recordFrameIntervals = False
9.0253 	EXP 	Created image = ImageStim(autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([-100.,    0.]), size=array([1., 1.]), texRes=128, units='pix', win=Window(...))
9.1913 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([0.2, 0. ]), rgb=array([0., 0., 0.]), text='default text', units=u'norm', win=Window(...), wrapWidth=1)
9.1989 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='default text', units=u'norm', win=Window(...), wrapWidth=1)
9.2075 	EXP 	Imported images.xlsx as conditions, 13 conditions, 3 params
9.2079 	EXP 	Created sequence: random, trialTypes=13, nReps=5, seed=None
9.2082 	EXP 	New trial (rep=0, index=0): OrderedDict([(u'images', u'images/almond.jpg'), (u'name', u'apple'), (u'corrAns', u'x')])
9.4914 	EXP 	image: image = u'images/almond.jpg'
9.4914 	EXP 	image: size = array([300., 300.])
9.4914 	EXP 	text: text = u'apple'
9.4914 	EXP 	image: autoDraw = True
9.4914 	EXP 	text: autoDraw = True
12.2394 	EXP 	image: autoDraw = False
12.2394 	EXP 	text: autoDraw = False
12.2394 	EXP 	text_2: text = 'Failed to respond'
12.2394 	EXP 	text_2: autoDraw = True
13.2070 	EXP 	New trial (rep=0, index=1): OrderedDict([(u'images', u'images/antelope.jpg'), (u'name', u'antelope'), (u'corrAns', u'z')])
13.3693 	EXP 	text_2: autoDraw = False
13.3693 	EXP 	image: image = u'images/antelope.jpg'
13.3693 	EXP 	image: size = array([300., 300.])
13.3693 	EXP 	text: text = u'antelope'
13.3693 	EXP 	image: autoDraw = True
13.3693 	EXP 	text: autoDraw = True
14.5254 	DATA 	Keypress: x
14.5392 	EXP 	image: autoDraw = False
14.5392 	EXP 	text: autoDraw = False
14.5392 	EXP 	text_2: text = 'Wrong.'
14.5392 	EXP 	text_2: autoDraw = True
15.5236 	EXP 	New trial (rep=0, index=2): OrderedDict([(u'images', u'images/armadillo.jpg'), (u'name', u'armadillo'), (u'corrAns', u'z')])
15.6784 	DATA 	Keypress: z
15.6992 	EXP 	text_2: autoDraw = False
15.6992 	EXP 	text_2: autoDraw = False
15.6992 	EXP 	image: image = u'images/armadillo.jpg'
15.6992 	EXP 	image: size = array([300., 300.])
15.6992 	EXP 	text: text = u'armadillo'
15.6992 	EXP 	image: autoDraw = True
15.6992 	EXP 	text: autoDraw = True
16.6920 	DATA 	Keypress: z
16.7083 	EXP 	image: autoDraw = False
16.7083 	EXP 	text: autoDraw = False
16.7083 	EXP 	text_2: text = 'Correct!'
16.7083 	EXP 	text_2: autoDraw = True
17.6919 	EXP 	New trial (rep=0, index=3): OrderedDict([(u'images', u'images/bagel01.jpg'), (u'name', u'bagel'), (u'corrAns', u'z')])
17.8984 	EXP 	text_2: autoDraw = False
17.8984 	EXP 	text_2: autoDraw = False
17.8984 	EXP 	image: image = u'images/bagel01.jpg'
17.8984 	EXP 	image: size = array([300., 300.])
17.8984 	EXP 	text: text = u'bagel'
17.8984 	EXP 	image: autoDraw = True
17.8984 	EXP 	text: autoDraw = True
20.7067 	EXP 	image: autoDraw = False
20.7067 	EXP 	text: autoDraw = False
20.7067 	EXP 	image: autoDraw = False
20.7067 	EXP 	text: autoDraw = False
20.7067 	EXP 	text_2: text = 'Failed to respond'
20.7067 	EXP 	text_2: autoDraw = True
21.0420 	DATA 	Keypress: z
21.6910 	EXP 	New trial (rep=0, index=4): OrderedDict([(u'images', u'images/avocado02.jpg'), (u'name', u'avocado'), (u'corrAns', u'z')])
21.8744 	EXP 	text_2: autoDraw = False
21.8744 	EXP 	text_2: autoDraw = False
21.8744 	EXP 	image: image = u'images/avocado02.jpg'
21.8744 	EXP 	image: size = array([300., 300.])
21.8744 	EXP 	text: text = u'avocado'
21.8744 	EXP 	image: autoDraw = True
21.8744 	EXP 	text: autoDraw = True
22.3932 	DATA 	Keypress: x
22.4063 	EXP 	image: autoDraw = False
22.4063 	EXP 	text: autoDraw = False
22.4063 	EXP 	text_2: text = 'Wrong.'
22.4063 	EXP 	text_2: autoDraw = True
23.3919 	EXP 	New trial (rep=0, index=5): OrderedDict([(u'images', u'images/apple01.jpg'), (u'name', u'apple'), (u'corrAns', u'z')])
23.6034 	EXP 	text_2: autoDraw = False
23.6034 	EXP 	text_2: autoDraw = False
23.6034 	EXP 	image: image = u'images/apple01.jpg'
23.6034 	EXP 	image: size = array([300., 300.])
23.6034 	EXP 	text: text = u'apple'
23.6034 	EXP 	image: autoDraw = True
23.6034 	EXP 	text: autoDraw = True
23.8788 	DATA 	Keypress: z
23.9069 	EXP 	image: autoDraw = False
23.9069 	EXP 	text: autoDraw = False
23.9069 	EXP 	text_2: text = 'Correct!'
23.9069 	EXP 	text_2: autoDraw = True
24.8920 	EXP 	New trial (rep=0, index=6): OrderedDict([(u'images', u'images/acorn.jpg'), (u'name', u'tree'), (u'corrAns', u'x')])
24.8926 	ERROR 	Couldn't find image images/acorn.jpg; check path? (tried: /Users/Leah/Desktop/multitasking_bilingualism/github/mm_bilingualism/images/acorn.jpg)
25.1776 	EXP 	window1: mouseVisible = True
