images,name,corrAns,sounds,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,begin_global,begin_routine,end_global,end_routine,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,begin_book,key_resp_1.keys,key_resp_1.corr,key_resp_1.rt,date,frameRate,expName,session,participant,
images/volleyball.jpg,volley ball,z,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,2018_Nov_04_1306,59.92838833752925,spanish_cond1,001,999,
images/puma.jpg,puma,z,,,,,,0,0,0,0,,,,,,,,,48.1724190712,6.91413879395e-06,48.9856050014,0.813194036484,z,1,0.777704954147,,,,,2018_Nov_04_1306,59.92838833752925,spanish_cond1,001,999,
images/puma.jpg,puma,z,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,2018_Nov_04_1306,59.92838833752925,spanish_cond1,001,999,
images/broom02.jpg,broom,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,0,0,116,92.1356270313,5.96046447754e-06,92.9095818996,0.773962974548,,,,81.9817779064,z,1,0.736864089966,2018_Nov_04_1306,59.92838833752925,spanish_cond1,001,999,
images/cherry01.jpg,highlighter,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,1,1,187,94.0721619129,5.96046447754e-06,94.859457016,0.787302970886,,,,,x,1,0.752111911774,2018_Nov_04_1306,59.92838833752925,spanish_cond1,001,999,
images/ceilingfan02.jpg,paper clip,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,2,2,208,95.9977140427,6.91413879395e-06,97.0963020325,1.09859490395,,,,,x,1,1.05400490761,2018_Nov_04_1306,59.92838833752925,spanish_cond1,001,999,
images/apricot.jpg,apricot,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,3,3,32,98.2720909119,5.96046447754e-06,99.3283109665,1.05622601509,,,,,z,1,1.02109384537,2018_Nov_04_1306,59.92838833752925,spanish_cond1,001,999,
images/bandaid01.jpg,door handle,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,4,4,170,100.474339962,6.19888305664e-06,101.426368952,0.952038049698,,,,,x,1,0.919117927551,2018_Nov_04_1306,59.92838833752925,spanish_cond1,001,999,
images/djmixer01.jpg,light bulb,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,5,5,196,102.60223484,6.91413879395e-06,103.492460012,0.890234947205,,,,,x,1,0.850860834122,2018_Nov_04_1306,59.92838833752925,spanish_cond1,001,999,
images/floorlamp.jpg,floor lamp,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,6,6,26,104.619314909,5.96046447754e-06,105.592704058,0.973397016525,,,,,z,1,0.936238050461,2018_Nov_04_1306,59.92838833752925,spanish_cond1,001,999,
images/cockroach02.jpg,belt,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,7,7,129,106.720922947,5.96046447754e-06,108.092625856,1.37170886993,,,,,x,1,1.33558106422,2018_Nov_04_1306,59.92838833752925,spanish_cond1,001,999,
images/calculator02b.jpg,dice,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,8,8,165,109.24138999,7.15255737305e-06,110.191948891,0.950566053391,,,,,x,1,0.919091939926,2018_Nov_04_1306,59.92838833752925,spanish_cond1,001,999,
images/hat05.jpg,hat,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,9,9,15,111.341984987,7.15255737305e-06,112.023891926,0.68191409111,,,,,z,1,0.65052485466,2018_Nov_04_1306,59.92838833752925,spanish_cond1,001,999,
,,,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,2018_Nov_04_1306,59.92838833752925,spanish_cond1,001,999,
images/bicycle.jpg,hand bag,x,sounds/greatgatsby_spanish.wav,,,,,,,,,0,1,1,0,0,0,0,186,133.190191984,7.15255737305e-06,133.927173853,0.736992120743,,,,123.026479006,x,1,0.702512979507,2018_Nov_04_1306,59.92838833752925,spanish_cond1,001,999,
images/lion.jpg,lion,z,sounds/greatgatsby_spanish.wav,,,,,,,,,0,1,1,0,0,1,1,44,135.095046997,7.15255737305e-06,135.825716019,0.730677127838,,,,,z,1,0.700534820557,2018_Nov_04_1306,59.92838833752925,spanish_cond1,001,999,
images/banjo.jpg,knife,x,sounds/greatgatsby_spanish.wav,,,,,,,,,0,1,1,0,0,2,2,191,136.961591005,7.15255737305e-06,137.806846857,0.845262050629,,,,,z,0,0.806026935577,2018_Nov_04_1306,59.92838833752925,spanish_cond1,001,999,
images/pingpongpaddle01c (1).jpg,ping pong paddle,z,sounds/greatgatsby_spanish.wav,,,,,,,,,0,1,1,0,0,3,3,10,138.971472025,7.15255737305e-06,140.225977898,1.25451207161,,,,,x,0,1.21972584724,2018_Nov_04_1306,59.92838833752925,spanish_cond1,001,999,
images/clothespin02a.jpg,clothes pin,z,sounds/greatgatsby_spanish.wav,,,,,,,,,0,1,1,0,0,4,4,79,141.375355959,7.15255737305e-06,142.14278388,0.767436027527,,,,,z,1,0.736145019531,2018_Nov_04_1306,59.92838833752925,spanish_cond1,001,999,
images/gamecontroller01.jpg,game controller,z,sounds/greatgatsby_spanish.wav,,,,,,,,,0,1,1,0,0,5,5,112,143.311728954,7.15255737305e-06,144.00936389,0.697643995285,,,,,x,0,0.667688846588,2018_Nov_04_1306,59.92838833752925,spanish_cond1,001,999,
images/floorlamp.jpg,floor lamp,z,sounds/greatgatsby_spanish.wav,,,,,,,,,0,1,1,0,0,6,6,26,145.124377012,5.96046447754e-06,145.960978031,0.836609125137,,,,,z,1,0.804167032242,2018_Nov_04_1306,59.92838833752925,spanish_cond1,001,999,
images/ear.jpg,bullet,x,sounds/greatgatsby_spanish.wav,,,,,,,,,0,1,1,0,0,7,7,139,147.107148886,6.91413879395e-06,148.526226044,1.41908383369,,,,,x,1,1.38652610779,2018_Nov_04_1306,59.92838833752925,spanish_cond1,001,999,
images/camera01a.jpg,bull,x,sounds/greatgatsby_spanish.wav,,,,,,,,,0,1,1,0,0,8,8,138,149.676985979,7.15255737305e-06,150.78982687,1.11284804344,,,,,z,0,1.08267593384,2018_Nov_04_1306,59.92838833752925,spanish_cond1,001,999,
images/hat05.jpg,hat,z,sounds/greatgatsby_spanish.wav,,,,,,,,,0,1,1,0,0,9,9,15,151.93462491,5.96046447754e-06,152.674149036,0.739529848099,,,,,x,0,0.700768947601,2018_Nov_04_1306,59.92838833752925,spanish_cond1,001,999,
