images,name,corrAns,sounds,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,begin_global,begin_routine,end_global,end_routine,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,begin_book,key_resp_1.keys,key_resp_1.corr,key_resp_1.rt,date,frameRate,expName,session,participant,
images\volleyball.jpg,volley ball,z,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,2018_Nov_14_1534,59.9827049621,spanish_cond2,001,1028,
images\puma.jpg,puma,z,,,,,,0,0,0,0,,,,,,,,,48.1461048218,9.94245056063e-06,49.3251851635,1.17909092573,z,1,1.16705789987,,,,,2018_Nov_14_1534,59.9827049621,spanish_cond2,001,1028,
images\coffeepot03b.jpg,coffee pot,z,sounds\animalfarm_english.wav,,,,,,,,,0,0,0,1,0,0,0,107,91.524339792,9.30111855268e-06,93.3538722462,1.82954271743,,,,81.3224105565,z,1,1.81741571857,2018_Nov_14_1534,59.9827049621,spanish_cond2,001,1028,
images\arrow02.jpg,hammer,x,sounds\animalfarm_english.wav,,,,,,,,,0,0,0,1,0,1,1,184,94.457403159,9.62184276432e-06,95.3877685725,0.930375676835,,,,,x,1,0.917185468832,2018_Nov_14_1534,59.9827049621,spanish_cond2,001,1028,
images\apple06.jpg,apple,z,sounds\animalfarm_english.wav,,,,,,,,,0,0,0,1,0,2,2,13,96.5147022741,1.05840153992e-05,97.4049521491,0.890261100489,,,,,z,1,0.86707768857,2018_Nov_14_1534,59.9827049621,spanish_cond2,001,1028,
images\flower01.jpg,bus,x,sounds\animalfarm_english.wav,,,,,,,,,0,0,0,1,0,3,3,140,98.5207261639,9.62184276432e-06,99.4221745337,0.901458633132,,,,,x,1,0.883820907446,2018_Nov_14_1534,59.9827049621,spanish_cond2,001,1028,
images\nailclipper03a.jpg,aquarium,x,sounds\animalfarm_english.wav,,,,,,,,,0,0,0,1,0,4,4,123,100.522753798,9.94245056063e-06,101.57275189,1.05000867555,,,,,x,1,1.03387387539,2018_Nov_14_1534,59.9827049621,spanish_cond2,001,1028,
images\broom02.jpg,broom,z,sounds\animalfarm_english.wav,,,,,,,,,0,0,0,1,0,5,5,116,102.667912156,9.30100213736e-06,103.623300669,0.955398777151,,,,,z,1,0.933846260887,2018_Nov_14_1534,59.9827049621,spanish_cond2,001,1028,
images\corn01.jpg,corn,z,sounds\animalfarm_english.wav,,,,,,,,,0,0,0,1,0,6,6,22,104.724029713,9.30111855268e-06,105.807223023,1.08320357266,,,,,z,1,1.06720989221,2018_Nov_14_1534,59.9827049621,spanish_cond2,001,1028,
images\doll.jpg,carrot,x,sounds\animalfarm_english.wav,,,,,,,,,0,0,0,1,0,7,7,146,106.919325678,9.62184276432e-06,107.741062548,0.821747133275,,,,,x,1,0.800460499479,2018_Nov_14_1534,59.9827049621,spanish_cond2,001,1028,
