images,name,corrAns,sounds,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,begin_global,begin_routine,end_global,end_routine,key_resp_2.keys,key_resp_2.corr,begin_book,key_resp_1.keys,key_resp_1.corr,key_resp_1.rt,date,frameRate,expName,session,participant,
images/volleyball.jpg,volley ball,z,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/puma.jpg,puma,z,,,,,,0,0,0,0,,,,,,,,,48.1537687123,9.94233414531e-06,51.0093108119,2.8555533248,None,0,,,,,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/parrot01.jpg,chameleon,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,0,0,150,93.1786501423,9.62160993367e-06,95.4038415157,2.22520163644,,,83.0057043196,z,0,2.20080000302,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/lettuce.jpg,mushroom,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,1,1,205,96.5287233305,9.62160993367e-06,98.0543071365,1.52559374832,,,,x,1,1.5170991678,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/remotecontrol01c.jpg,remote control,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,2,2,85,99.1664846047,9.30088572204e-06,100.405033951,1.23855864746,,,,z,1,1.21719005972,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/tissuebox03.jpg,tissue box,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,3,3,58,101.532905194,9.30088572204e-06,102.872311568,1.3394163159,,,,z,1,1.31721610227,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/ear.jpg,bullet,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,4,4,139,103.979379972,9.62160993367e-06,105.489625361,1.51025501057,,,,x,1,1.50059685914,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/cola.jpg,comb,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,5,5,157,106.611903574,8.65943729877e-06,108.873785274,2.26189100149,,,,x,1,2.25077389646,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/flipflop01b.jpg,flip flop,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,6,6,27,109.989310414,8.98016151041e-06,111.141025238,1.1517244454,,,,z,1,1.13385106041,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/scissors04a.jpg,leek,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,7,7,194,112.233136561,8.98016151041e-06,113.725006318,1.49187905795,,,,x,1,1.48394060531,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/dice05a.jpg,band aid,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,8,8,126,114.835994879,8.65943729877e-06,117.825858534,2.98987295653,,,,None,0,,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/cockroach02.jpg,belt,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,9,9,129,118.922958651,8.98016151041e-06,120.209930571,1.28698314424,,,,x,1,1.26722200343,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/cat.jpg,black olive,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,10,10,133,121.339777446,9.30088572204e-06,122.943928585,1.60416108079,,,,x,1,1.58395253599,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/bat.jpg,hand,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,11,11,185,124.040093804,9.30088572204e-06,125.777957452,1.73787326948,,,,x,1,1.71731353691,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/pictureframe04.jpg,picture frame,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,12,12,41,126.897868754,8.98016151041e-06,128.595340008,1.69748023397,,,,z,1,1.68399750104,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/umbrella01.jpg,umbrella,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,13,13,53,129.706478986,9.94233414531e-06,131.896133019,2.18966397562,,,,z,1,2.1674057116,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/donut.jpg,rhinoceros,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,14,14,216,133.019435931,9.62160993367e-06,134.81353392,1.79410825192,,,,x,1,1.78401360102,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/hairpin.jpg,hair pin,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,15,15,28,135.90270713,9.30088572204e-06,137.280792934,1.37809574627,,,,z,1,1.3672198226,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/printer03a.jpg,printer,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,16,16,72,138.388016567,9.62160993367e-06,139.714733026,1.32672640181,,,,z,1,1.31722732738,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/fryingpan01.jpg,frying pan,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,17,17,45,140.813601271,5.32395206392e-05,142.882168244,2.06858140568,,,,z,1,2.05071924592,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/chameleon.jpg,50 dollar bill,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,18,18,120,143.991491308,9.62160993367e-06,145.249454135,1.25797276967,,,,x,1,1.23388736579,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/rubberglove02a.jpg,lady bug,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,19,19,192,146.351893272,9.30088572204e-06,147.616743875,1.26486022398,,,,x,1,1.25059846288,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/magnifyingglass01b.jpg,magnifying glass,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,20,20,64,148.723222796,9.30088572204e-06,150.300687815,1.57747528213,,,,z,1,1.56727960473,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/aloe02.jpg,broad sword,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,21,21,137,151.420664223,9.30088572204e-06,152.967998915,1.54734399228,,,,x,1,1.53393470403,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/plate01b.jpg,plate,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,22,22,3,154.065489989,9.30076930672e-06,155.301910399,1.23643003113,,,,z,1,1.21719743626,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/toucan.jpg,toucan,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,23,23,81,156.400137524,9.62160993367e-06,158.05260187,1.65247396717,,,,z,1,1.63397870678,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/charcoalbarbecue.jpg,charcoal barbecue,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,24,24,77,159.167661004,9.30088572204e-06,160.919965696,1.75231399224,,,,z,1,1.73399320326,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/hat05.jpg,hat,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,25,25,15,162.021682893,9.30088572204e-06,163.453926057,1.4322524654,,,,z,1,1.41725272837,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/diaper01a.jpg,camera,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,26,26,143,164.572488412,9.30088572204e-06,165.671138568,1.09865977685,,,,x,1,1.0838367563,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/bracelet02a.jpg,chess knight,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,27,27,152,166.778101455,9.30088572204e-06,168.521857685,1.74376649305,,,,x,1,1.73401212576,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/plant01.jpg,plant,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,28,28,47,169.631832772,9.30088572204e-06,171.005790914,1.37396808446,,,,z,1,1.35057319014,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/lightswitch02a.jpg,fork,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,29,29,177,172.115338802,9.30088572204e-06,173.489571159,1.37424262054,,,,x,1,1.35040256719,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/mitten01.jpg,mitten,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,30,30,102,174.60818066,8.98016151041e-06,176.39044217,1.78227113129,,,,x,0,1.76732752018,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/candy.jpg,candy,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,31,31,31,177.491363982,7.15204514563e-05,179.191184507,1.69987376477,,,,z,1,1.68402732781,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/hammer02a.jpg,flower,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,32,32,176,180.284474154,9.30088572204e-06,181.791775658,1.50731080433,,,,x,1,1.48392873863,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/paintbrush03a.jpg,paint brush,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,33,33,0,182.890140373,9.30088572204e-06,184.192368284,1.30223785341,,,,z,1,1.28387601231,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/desktopcomputer.jpg,desktop computer,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,34,34,16,185.326392212,9.62160993367e-06,186.859694136,1.53331186646,,,,z,1,1.51726946991,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/nailclipper03a.jpg,aquarium,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,35,35,123,187.956951085,9.30088572204e-06,189.360307031,1.40336556779,,,,z,0,1.38390622416,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/bowl02b (1).jpg,bowl,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,36,36,24,190.476107669,9.30088572204e-06,191.410811074,0.934713347233,,,,z,1,0.917116422555,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/treadmill.jpg,lily,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,37,37,199,192.514549767,9.30088572204e-06,194.011470859,1.49693103379,,,,x,1,1.48394381255,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/antelope.jpg,antelope,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,38,38,12,195.115436301,8.98016151041e-06,197.178906718,2.06348068046,,,,x,0,2.05074105482,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/baseball01a.jpg,baseball,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,39,39,74,198.310758733,8.98016151041e-06,200.196317625,1.88556851412,,,,z,1,1.86736061843,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/mailbox01.jpg,mail box,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,40,40,73,201.314106084,9.62160993367e-06,203.130382157,1.81628569448,,,,z,1,1.80068396672,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/banjo.jpg,knife,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,41,41,191,204.224835695,9.30088572204e-06,205.547617566,1.32279245462,,,,x,1,1.30053868075,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/ostrich.jpg,ostrich,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,42,42,76,206.646748801,9.62160993367e-06,207.814871642,1.16813278303,,,,z,1,1.15052174672,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/electrictoothbrush01a.jpg,banjo,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,43,43,127,208.908000929,9.30088572204e-06,210.015245729,1.1072557047,,,,z,0,1.0836776793,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/paperclip04.jpg,eye drops,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,44,44,174,211.121147676,8.98016151041e-06,212.432672287,1.3115339122,,,,x,1,1.30055824469,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/corn01.jpg,corn,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,45,45,22,213.530685173,8.98016151041e-06,214.999984285,1.46930841298,,,,z,1,1.45058576239,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/coffeepot03b.jpg,coffee pot,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,46,46,107,216.119201549,8.98016151041e-06,217.367217577,1.24802500848,,,,z,1,1.23386844341,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/lock02a.jpg,lock,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,47,47,65,218.476157702,9.62160993367e-06,221.468174348,2.99202626827,,,,None,0,,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/broadsword.jpg,teapot,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,48,48,231,222.560051867,9.30088572204e-06,223.46873657,0.908694324666,,,,z,0,0.900442528888,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/cigar.jpg,crocodile,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,49,49,162,224.565188833,9.30088572204e-06,226.569490325,2.00431143423,,,,x,1,1.98405734717,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/electricguitar02.jpg,electric guitar,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,50,50,100,227.669806298,8.98016151041e-06,228.636666658,0.966869981494,,,,z,1,0.950469982577,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/bowtie.jpg,bowtie,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,51,51,89,229.746673496,9.62160993367e-06,231.203970958,1.45730804605,,,,z,1,1.43392565975,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/ashtray02b.jpg,ashtray,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,52,52,43,232.317186596,8.98016151041e-06,233.30451368,0.987337347004,,,,z,1,0.96714323468,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/backpack01b.jpg,swallow,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,53,53,228,234.435478905,9.62160993367e-06,235.521729077,1.08626043459,,,,x,1,1.06718531309,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/cactus.jpg,cactus,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,54,54,70,236.632072028,9.62160993367e-06,237.422183793,0.790122027509,,,,z,1,0.767102695652,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/tank.jpg,wallet,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,55,55,237,238.524873412,9.62160993367e-06,240.572943193,2.04807972326,,,,x,1,2.034059464,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/wallet01.jpg,lamp,x,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,56,56,193,241.677167776,8.98016151041e-06,243.190264042,1.51310556685,,,,x,1,1.50060840521,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/marker01a.jpg,marker,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,57,57,95,244.286662104,9.30076930672e-06,247.15789894,2.87124645757,,,,z,1,2.8509211709,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
images/dolphin01.jpg,dolphin,z,sounds/animalfarm_english.wav,,,,,,,,,0,0,0,1,0,58,58,99,248.256796691,9.62149351835e-06,249.091710103,0.834923675051,,,,x,0,0.817102567526,2018_Nov_14_1534,59.9858788674,chinese_cond2,001,1032,
