images,name,corrAns,sounds,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,begin_global,begin_routine,end_global,end_routine,key_resp_2.keys,key_resp_2.corr,begin_book,key_resp_1.keys,key_resp_1.corr,key_resp_1.rt,date,frameRate,expName,session,participant,
images/volleyball.jpg,volley ball,z,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2018_Nov_13_1540,59.9892257552,chinese_cond1,001,1009,
images/puma.jpg,puma,z,,,,,,0,0,0,0,,,,,,,,,48.2419771982,8.98016151041e-06,51.0033787815,2.76141280856,None,0,,,,,2018_Nov_13_1540,59.9892257552,chinese_cond1,001,1009,
images/tent.jpg,tent,z,sounds/greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,0,0,11,93.3603044656,8.98016151041e-06,95.6146787609,2.25438423757,,,83.0001205906,z,1,2.23417537205,2018_Nov_13_1540,59.9892257552,chinese_cond1,001,1009,
images/lip.jpg,boxing glove,x,sounds/greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,1,1,136,96.7618258954,8.98016151041e-06,98.2652829324,1.50346730009,,,,x,1,1.48393900169,2018_Nov_13_1540,59.9892257552,chinese_cond1,001,1009,
images/beachumbrella01.jpg,beach umbrella,z,sounds/greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,2,2,92,99.4459244231,8.65943729877e-06,101.082632133,1.63671733183,,,,z,1,1.61729294655,2018_Nov_13_1540,59.9892257552,chinese_cond1,001,1009,
images/battery03b.jpg,battery,z,sounds/greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,3,3,34,102.267488201,9.30088572204e-06,103.716621424,1.44914316537,,,,z,1,1.4339195661,2018_Nov_13_1540,59.9892257552,chinese_cond1,001,1009,
images/candle08a.jpg,screw driver,x,sounds/greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,4,4,221,104.895405627,8.98016151041e-06,106.917420786,2.02202445932,,,,x,1,2.00073765521,2018_Nov_13_1540,59.9892257552,chinese_cond1,001,1009,
images/sunglasses03a.jpg,sun glasses,z,sounds/greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,5,5,17,108.102842602,8.65943729877e-06,109.317998658,1.21516567736,,,,z,1,1.20053444721,2018_Nov_13_1540,59.9892257552,chinese_cond1,001,1009,
images/notebook02b.jpg,notebook,z,sounds/greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,6,6,7,110.501272936,9.30088572204e-06,111.935305716,1.43404304318,,,,z,1,1.41723925807,2018_Nov_13_1540,59.9892257552,chinese_cond1,001,1009,
images/cockroach02.jpg,belt,x,sounds/greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,7,7,129,113.134277297,9.62160993367e-06,114.669312069,1.53504535626,,,,x,1,1.51726946991,2018_Nov_13_1540,59.9892257552,chinese_cond1,001,1009,
images/hand01a.jpg,cupcake,x,sounds/greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,8,8,163,115.861118773,8.98016151041e-06,116.936701168,1.07559201634,,,,x,1,1.05064515967,2018_Nov_13_1540,59.9892257552,chinese_cond1,001,1009,
