images,name,corrAns,sounds,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,begin_global,begin_routine,end_global,end_routine,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,begin_book,key_resp_1.keys,key_resp_1.corr,key_resp_1.rt,date,frameRate,expName,session,participant,
images/volleyball.jpg,volley ball,z,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,2018_Nov_14_1236,59.9879748964,spanish_cond1,001,1015,
images/puma.jpg,puma,z,,,,,,0,0,0,0,,,,,,,,,48.1796384754,1.02635240182e-05,49.3156950092,1.13606711803,z,1,1.11726249906,,,,,2018_Nov_14_1236,59.9879748964,spanish_cond1,001,1015,
images/handfan01b.jpg,handfan,z,sounds/animalfarm_spanish.wav,,,,,,,,,0,0,0,1,0,0,0,69,91.5836475188,9.62195917964e-06,92.6282362435,1.04459866742,,,,81.3133972727,z,1,1.03388359479,2018_Nov_14_1236,59.9879748964,spanish_cond1,001,1015,
images/computermouse02a.jpg,world map,x,sounds/animalfarm_spanish.wav,,,,,,,,,0,0,0,1,0,1,1,239,93.738947756,9.94268339127e-06,94.7957051187,1.05676794692,,,,,x,1,1.03403915069,2018_Nov_14_1236,59.9879748964,spanish_cond1,001,1015,
images/chameleon.jpg,50 dollar bill,x,sounds/animalfarm_spanish.wav,,,,,,,,,0,0,0,1,0,2,2,120,95.9092230514,9.30123496801e-06,96.7961339398,0.88692083105,,,,,x,1,0.867172613391,2018_Nov_14_1236,59.9879748964,spanish_cond1,001,1015,
images/lily.jpg,kiwi,x,sounds/animalfarm_spanish.wav,,,,,,,,,0,0,0,1,0,3,3,190,97.897442822,8.98051075637e-06,98.9300745931,1.03264203446,,,,,x,1,1.01720993081,2018_Nov_14_1236,59.9879748964,spanish_cond1,001,1015,
images/calculator02b.jpg,dice,x,sounds/animalfarm_spanish.wav,,,,,,,,,0,0,0,1,0,4,4,165,100.033533995,9.94268339127e-06,100.863979068,0.830455656745,,,,,x,1,0.817146489746,2018_Nov_14_1236,59.9879748964,spanish_cond1,001,1015,
images/chessknight02b (1).jpg,cockroach,x,sounds/animalfarm_spanish.wav,,,,,,,,,0,0,0,1,0,5,5,155,101.974170029,8.98051075637e-06,102.847896516,0.873736750102,,,,,x,1,0.850517231273,2018_Nov_14_1236,59.9879748964,spanish_cond1,001,1015,
images/broadsword.jpg,teapot,x,sounds/animalfarm_spanish.wav,,,,,,,,,0,0,0,1,0,6,6,231,103.942290379,9.62195917964e-06,104.83179921,0.889519095072,,,,,x,1,0.867179669556,2018_Nov_14_1236,59.9879748964,spanish_cond1,001,1015,
images/cockroach02.jpg,belt,x,sounds/animalfarm_spanish.wav,,,,,,,,,0,0,0,1,0,7,7,129,105.931838629,9.30123496801e-06,106.782371255,0.850543210632,,,,,x,1,0.833840039209,2018_Nov_14_1236,59.9879748964,spanish_cond1,001,1015,
images/lemon02.jpg,lemon,z,sounds/animalfarm_spanish.wav,,,,,,,,,0,0,0,1,0,8,8,14,107.896099589,9.30135138333e-06,108.599566817,0.703477812116,,,,,z,1,0.683796948637,2018_Nov_14_1236,59.9879748964,spanish_cond1,001,1015,
images/gorilla.jpg,gorilla,z,sounds/animalfarm_spanish.wav,,,,,,,,,0,0,0,1,0,9,9,80,109.712390682,8.98051075637e-06,110.500111776,0.787730715703,,,,,z,1,0.76715340151,2018_Nov_14_1236,59.9879748964,spanish_cond1,001,1015,
images/swallow.jpg,mattress,x,sounds/animalfarm_spanish.wav,,,,,,,,,0,0,0,1,0,10,10,202,111.603268405,9.62195917964e-06,112.400668602,0.797410459956,,,,,x,1,0.78382931056,2018_Nov_14_1236,59.9879748964,spanish_cond1,001,1015,
images/radio03a.jpg,radio,z,sounds/animalfarm_spanish.wav,,,,,,,,,0,0,0,1,0,11,11,37,113.516647524,8.98051075637e-06,114.30121773,0.784580148291,,,,,z,1,0.767152760061,2018_Nov_14_1236,59.9879748964,spanish_cond1,001,1015,
images/ant.jpg,ant,z,sounds/animalfarm_spanish.wav,,,,,,,,,0,0,0,1,0,12,12,98,115.397398721,9.30135138333e-06,116.168416323,0.771027544281,,,,,z,1,0.750473322812,2018_Nov_14_1236,59.9879748964,spanish_cond1,001,1015,
images/lightbulb03b.jpg,treadmill,x,sounds/animalfarm_spanish.wav,,,,,,,,,0,0,0,1,0,13,13,234,117.273105418,9.30123496801e-06,118.06895615,0.795860674465,,,,,x,1,0.783781842096,2018_Nov_14_1236,59.9879748964,spanish_cond1,001,1015,
images/marker01a.jpg,marker,z,sounds/animalfarm_spanish.wav,,,,,,,,,0,0,0,1,0,14,14,95,119.169101089,8.9806271717e-06,119.91949936,0.750409176107,,,,,x,0,0.733783301315,2018_Nov_14_1236,59.9879748964,spanish_cond1,001,1015,
images/glasses01b.jpg,calculator,x,sounds/animalfarm_spanish.wav,,,,,,,,,0,0,0,1,0,15,15,142,121.013576659,9.30135138333e-06,121.920095284,0.906528888037,,,,,x,1,0.883847560384,2018_Nov_14_1236,59.9879748964,spanish_cond1,001,1015,
images/ceilingfan02.jpg,paper clip,x,sounds/animalfarm_spanish.wav,,,,,,,,,0,0,0,1,0,16,16,208,123.020025973,9.62207559496e-06,123.853993664,0.833977954695,,,,,x,1,0.817162205698,2018_Nov_14_1236,59.9879748964,spanish_cond1,001,1015,
images/snowman.jpg,globe,x,sounds/animalfarm_spanish.wav,,,,,,,,,0,0,0,1,0,17,17,180,124.966986235,9.30123496801e-06,125.75456781,0.787592479493,,,,,x,1,0.767162382021,2018_Nov_14_1236,59.9879748964,spanish_cond1,001,1015,
images/globe.jpg,cloud,x,sounds/animalfarm_spanish.wav,,,,,,,,,0,0,0,1,0,18,18,154,126.884829647,9.30135138333e-06,127.705126704,0.820306679234,,,,,x,1,0.800493994029,2018_Nov_14_1236,59.9879748964,spanish_cond1,001,1015,
images/cookingpot.jpg,grasshopper,x,sounds/animalfarm_spanish.wav,,,,,,,,,0,0,0,1,0,19,19,183,128.820316622,9.30123496801e-06,129.588989981,0.768683301401,,,,,x,1,0.750465625199,2018_Nov_14_1236,59.9879748964,spanish_cond1,001,1015,
images/nametag01a.jpg,name tag,z,sounds/animalfarm_spanish.wav,,,,,,,,,0,0,0,1,0,20,20,108,130.71029597,9.30135138333e-06,131.639591501,0.929306435748,,,,,x,0,0.917188473628,2018_Nov_14_1236,59.9879748964,spanish_cond1,001,1015,
images/diploma01.jpg,glasses,x,sounds/animalfarm_spanish.wav,,,,,,,,,0,0,0,1,0,21,21,179,132.772262048,9.62195917964e-06,134.490412788,1.71816068178,,,,,x,1,1.70073906682,2018_Nov_14_1236,59.9879748964,spanish_cond1,001,1015,
