images,name,corrAns,sounds,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,begin_global,begin_routine,end_global,end_routine,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,begin_book,key_resp_1.keys,key_resp_1.corr,key_resp_1.rt,date,frameRate,expName,session,participant,
images\volleyball.jpg,volley ball,z,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,2018_Nov_26_1107,59.9823013575,chinese_cond1,001,,
images\puma.jpg,puma,z,,,,,,0,0,0,0,,,,,,,,,48.1726735895,1.02630583569e-05,50.1620461212,1.98938343616,z,1,1.96741777798,,,,,2018_Nov_26_1107,59.9823013575,chinese_cond1,001,,
images\lamp04b.jpg,parking meter,x,sounds\animalfarm_chinese.wav,,,,,,,,,0,0,0,1,0,0,0,209,92.3619660689,9.94245056063e-06,93.5731809088,1.21122542385,,,,82.1587083598,x,1,1.20056139317,2018_Nov_26_1107,59.9823013575,chinese_cond1,001,,
images\watermelon01.jpg,orange,x,sounds\animalfarm_chinese.wav,,,,,,,,,0,0,0,1,0,1,1,207,94.7100884618,8.98027792573e-06,96.0903155206,1.38023700134,,,,,x,1,1.36709218018,2018_Nov_26_1107,59.9823013575,chinese_cond1,001,,
images\dryingmachine01.jpg,drying machine,z,sounds\animalfarm_chinese.wav,,,,,,,,,0,0,0,1,0,2,2,18,97.2124060042,9.30100213736e-06,99.6580563305,2.44565994793,,,,,z,1,2.43419539323,2018_Nov_26_1107,59.9823013575,chinese_cond1,001,,
images\cake.jpg,cake,z,sounds\animalfarm_chinese.wav,,,,,,,,,0,0,0,1,0,3,3,23,100.772198984,9.62160993367e-06,102.125358328,1.35316960642,,,,,z,1,1.33391662105,2018_Nov_26_1107,59.9823013575,chinese_cond1,001,,
images\fork01.jpg,cooking pot,x,sounds\animalfarm_chinese.wav,,,,,,,,,0,0,0,1,0,4,4,160,103.219812454,8.98027792573e-06,106.209588134,2.98978498112,,,,,None,0,,2018_Nov_26_1107,59.9823013575,chinese_cond1,001,,
images\aquarium.jpg,computer mouse,x,sounds\animalfarm_chinese.wav,,,,,,,,,0,0,0,1,0,5,5,159,107.345864184,8.98027792573e-06,108.493664123,1.14780988067,,,,,x,1,1.13387255371,2018_Nov_26_1107,59.9823013575,chinese_cond1,001,,
images\diaper01a.jpg,camera,x,sounds\animalfarm_chinese.wav,,,,,,,,,0,0,0,1,0,6,6,143,109.613454383,9.30100213736e-06,110.844249345,1.23080458434,,,,,x,1,1.2172081857,2018_Nov_26_1107,59.9823013575,chinese_cond1,001,,
images\ceilingfan02.jpg,paper clip,x,sounds\animalfarm_chinese.wav,,,,,,,,,0,0,0,1,0,7,7,208,111.943012061,9.30088572204e-06,113.128194799,1.18519268057,,,,,x,1,1.16721777525,2018_Nov_26_1107,59.9823013575,chinese_cond1,001,,
images\acousticguitar02.jpg,acoustic guitar,z,sounds\animalfarm_chinese.wav,,,,,,,,,0,0,0,1,0,8,8,97,114.241640522,8.98016151041e-06,115.578797085,1.33716586302,,,,,z,1,1.31724352925,2018_Nov_26_1107,59.9823013575,chinese_cond1,001,,
images\banjo.jpg,knife,x,sounds\animalfarm_chinese.wav,,,,,,,,,0,0,0,1,0,9,9,191,116.67542956,9.30100213736e-06,117.645996194,0.970576576074,,,,,x,1,0.950481372769,2018_Nov_26_1107,59.9823013575,chinese_cond1,001,,
