images,name,corrAns,sounds,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,begin_global,begin_routine,end_global,end_routine,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,begin_book,key_resp_1.keys,key_resp_1.corr,key_resp_1.rt,date,frameRate,expName,session,participant,
images\volleyball.jpg,volley ball,z,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,2018_Dec_04_1106,59.9854941959,spanish_cond2,001,1072,
images\puma.jpg,puma,z,,,,,,0,0,0,0,,,,,,,,,48.2470594914,9.94227593765e-06,50.328400788,2.08135252167,z,1,2.06741505291,,,,,2018_Dec_04_1106,59.9854941959,spanish_cond2,001,1072,
images\worldmap.jpg,scooter,x,sounds\greatgatsby_spanish.wav,,,,,,,,,0,0,0,0,0,0,0,220,92.6191331746,9.30088572204e-06,95.6225879555,3.00346504396,,,,82.3243863531,None,0,,2018_Dec_04_1106,59.9854941959,spanish_cond2,001,1072,
images\parkbench03.jpg,park bench,z,sounds\greatgatsby_spanish.wav,,,,,,,,,0,0,0,0,0,1,1,71,96.8297394675,9.30088572204e-06,99.3069662008,2.4772363549,,,,,z,1,2.46739029337,2018_Dec_04_1106,59.9854941959,spanish_cond2,001,1072,
images\squirrel.jpg,binder,x,sounds\greatgatsby_spanish.wav,,,,,,,,,0,0,0,0,0,2,2,132,100.480657781,9.94227593765e-06,103.474500946,2.99385406915,,,,,None,0,,2018_Dec_04_1106,59.9854941959,spanish_cond2,001,1072,
images\raisin.jpg,ruler,x,sounds\greatgatsby_spanish.wav,,,,,,,,,0,0,0,0,0,3,3,218,104.614552351,8.98010330275e-06,105.591829116,0.977286386944,,,,,x,1,0.967137887841,2018_Dec_04_1106,59.9854941959,spanish_cond2,001,1072,
images\bottleofredwine02.jpg,pipe,x,sounds\greatgatsby_spanish.wav,,,,,,,,,0,0,0,0,0,4,4,213,106.78355278,8.98010330275e-06,107.775700305,0.992157467699,,,,,x,1,0.983811086451,2018_Dec_04_1106,59.9854941959,spanish_cond2,001,1072,
images\lemon02.jpg,lemon,z,sounds\greatgatsby_spanish.wav,,,,,,,,,0,0,0,0,0,5,5,14,108.974669644,8.98010330275e-06,109.926218362,0.951558339642,,,,,z,1,0.933795339195,2018_Dec_04_1106,59.9854941959,spanish_cond2,001,1072,
images\cloud.jpg,ceiling fan,x,sounds\greatgatsby_spanish.wav,,,,,,,,,0,0,0,0,0,6,6,149,111.070391001,1.02630001493e-05,112.226624263,1.15624416695,,,,,x,1,1.13360912999,2018_Dec_04_1106,59.9854941959,spanish_cond2,001,1072,
images\clothespin02a.jpg,clothes pin,z,sounds\greatgatsby_spanish.wav,,,,,,,,,0,0,0,0,0,7,7,79,113.40673631,8.98010330275e-06,115.644291305,2.23756429605,,,,,z,1,2.21746004972,2018_Dec_04_1106,59.9854941959,spanish_cond2,001,1072,
